index,trans_date_trans_time,cc_num,device_os,merchant,amt,trans_num,unix_time,first,last,gender,street,city,zip,job,dob,lat,long,city_pop,state,category,merch_lat,merch_long,merchant_id
30018,2023-06-05 00:00:00,9146295026237194,macOS,Merchant_48,230.23541742648248,TR888836,1674518400,Nancy,Davis,M,Maple St,Houston,11399.0,Artist,1999-01-08,29.7604,-95.3698,2328000.0,TX,Apparel,-34.824300756255504,9.043276780820436,48
30019,2023-03-13 00:00:00,3266569580059821,X11,Merchant_78,81.8516277014082,TR646055,1689897600,Emily,Williams,M,2nd Ave,Phoenix,31845.0,Lawyer,1987-01-31,33.4484,-112.074,1680992.0,AZ,Electronics,-26.58433665786434,132.9141057936119,78
30020,2023-10-07 00:00:00,7262605390965102,X11,Merchant_2,116.57053753216708,TR903287,1675296000,Emily,Smith,F,2nd Ave,Los Angeles,20135.0,Artist,2004-10-21,34.0522,-118.2437,3979576.0,CA,Groceries,-41.65488574514497,90.05157388576708,2
30021,2023-01-19 00:00:00,6884379951554452,,Merchant_90,68.88516872388779,TR780386,1672790400,Joe,Clark,M,Maple St,Los Angeles,11244.0,Clerk,2004-07-18,34.0522,-118.2437,3979576.0,CA,Groceries,79.06589427989428,40.668692758560525,90
30022,2023-07-02 00:00:00,9642357869662348,macOS,Merchant_85,152.81348411901783,TR939885,1684281600,Jane,Jones,M,Maple St,Los Angeles,47909.0,Clerk,2004-11-22,34.0522,-118.2437,3979576.0,CA,,,76.43321219151005,85
30023,2023-08-10 00:00:00,3981584445591529,,Merchant_14,354.3271368980893,TR225838,1701820800,Mike,Clark,F,Broadway,Los Angeles,46685.0,Clerk,1976-10-13,34.0522,-118.2437,3979576.0,CA,Travel,-19.65636715340061,16.66810179444255,14
30024,2023-12-23 00:00:00,9513385288625384,Windows,Merchant_100,422.8010198827904,TR468365,1689811200,Bob,Wilson,F,Maple St,Chicago,98408.0,Teacher,2000-01-10,41.8781,-87.6298,2716000.0,IL,Travel,-71.4772913272537,-30.29339434798345,100
30025,2023-04-26 00:00:00,5469835963135361,X11,Merchant_57,159.2749759279708,TR529045,1703203200,Alice,Johnson,F,Main St,Los Angeles,24751.0,Teacher,1987-08-28,34.0522,-118.2437,3979576.0,CA,Entertainment,88.09979154289479,-68.06583980919721,57
30026,2023-04-23 00:00:00,6235997271854226,macOS,Merchant_48,55.10831747992401,TR761799,1698105600,John,Clark,M,Broadway,New York,59548.0,Nurse,1993-05-15,40.7128,-74.006,8419600.0,NY,Apparel,-34.824300756255504,9.043276780820436,48
30027,2023-07-22 00:00:00,2124328322216035,,Merchant_86,498.3882314374527,TR782624,1672876800,Emily,Jones,F,Elm St,Phoenix,86937.0,Artist,1990-03-08,33.4484,-112.074,1680992.0,AZ,Groceries,-61.26016902797638,-23.03810829457197,86
30028,2023-08-16 00:00:00,2859494686682245,macOS,Merchant_58,412.7668063942362,TR219712,1694563200,Emily,Brown,M,Broadway,Phoenix,16568.0,Engineer,1977-05-05,33.4484,-112.074,1680992.0,AZ,Electronics,-82.6737493094161,18.37997667711972,58
30029,2023-04-27 00:00:00,6097252194938398,,Merchant_36,347.5238987777544,TR886994,1686873600,John,Brown,M,Elm St,Los Angeles,78195.0,Doctor,1992-07-11,34.0522,-118.2437,3979576.0,CA,Electronics,88.31166896584762,-91.21238063158488,36
30030,2023-06-29 00:00:00,2669723414467567,,Merchant_76,294.42736177799105,TR829755,1691971200,Joe,Williams,F,Maple St,Phoenix,84523.0,Nurse,1972-04-05,33.4484,-112.074,1680992.0,AZ,Travel,-13.782030156854788,88.33761530797369,76
30031,2023-11-13 00:00:00,7907333390984824,,Merchant_97,482.5617847123874,TR896628,1679875200,Alice,Smith,F,Maple St,New York,76545.0,Engineer,1966-09-27,40.7128,-74.006,8419600.0,NY,Entertainment,-7.911874954864373,-137.25111128226763,97
30032,2023-02-21 00:00:00,7308701990157768,,Merchant_36,145.01588974206493,TR227418,1696550400,Bob,Clark,M,Broadway,Phoenix,36374.0,Doctor,1978-12-13,33.4484,-112.074,1680992.0,AZ,Electronics,88.31166896584762,-91.21238063158488,36
30033,2023-05-09 00:00:00,4399781539604622,,Merchant_46,324.3936521211406,TR517855,1694390400,Bob,Davis,F,Main St,Houston,36799.0,Lawyer,1995-07-05,29.7604,-95.3698,2328000.0,TX,Electronics,22.17012257859585,168.95891334648854,46
30034,2023-04-16 00:00:00,2795820813047956,,Merchant_16,290.709874298517,TR339688,1680825600,Jane,Clark,F,2nd Ave,Houston,11350.0,Clerk,1983-09-27,29.7604,-95.3698,2328000.0,TX,Entertainment,-34.73183185490737,162.228092285356,16
30035,2023-03-15 00:00:00,1192936012936393,macOS,Merchant_47,291.01632742950346,TR360879,1702252800,Joe,Brown,F,Maple St,Chicago,78303.0,Nurse,1984-02-25,41.8781,-87.6298,2716000.0,IL,Apparel,23.79208222892042,-86.58836673314276,47
30036,2023-08-17 00:00:00,8655998288450949,,Merchant_94,153.99226310838543,TR506488,1687910400,TestFirst4,TestLast4,M,119 Test St,Test City,96984.0,Doctor,1961-11-01,,,,,Travel,12.74164799239712,-105.54710492320932,94
30037,2023-12-16 00:00:00,7873618782013964,macOS,Merchant_21,308.7443122695154,TR208967,1687996800,Joe,Johnson,M,1st Ave,Phoenix,10014.0,Lawyer,1995-12-22,33.4484,-112.074,1680992.0,AZ,Electronics,49.82334289064852,-120.47389253984414,21
30038,2023-07-05 00:00:00,3711510567105580,,Merchant_76,358.8295676321554,TR904066,1686700800,Nancy,Johnson,F,Main St,Houston,23785.0,Teacher,1962-11-04,29.7604,-95.3698,2328000.0,TX,Travel,-13.782030156854788,88.33761530797369,76
30039,2023-02-01 00:00:00,5945421947786238,macOS,Merchant_56,258.8186228316058,TR562453,1693440000,TestFirst13,TestLast13,M,560 Test St,Test City,53208.0,Teacher,1988-08-09,,,,,Apparel,71.4501997671077,-17.56124419385975,56
30040,2023-12-17 00:00:00,4212822705918308,other,Merchant_11,360.573286568234,TR461621,1700438400,TestFirst52,TestLast52,F,864 Test St,Test City,36566.0,Teacher,1966-12-16,,,,,Travel,-47.34271650763817,75.54811793589215,11
30041,2023-04-18 00:00:00,2795820813047956,X11,Merchant_14,305.1332719977039,TR115998,1697068800,Jane,Clark,F,2nd Ave,Houston,11350.0,Clerk,1983-09-27,29.7604,-95.3698,2328000.0,TX,Travel,-19.65636715340061,16.66810179444255,14
30042,2023-06-20 00:00:00,3075507544386687,,Merchant_63,206.82733943721345,TR525994,1679788800,Joe,Brown,M,1st Ave,New York,32815.0,Lawyer,1966-11-15,40.7128,-74.006,8419600.0,NY,Travel,-0.7875016140319246,-174.90023314845143,63
30043,2023-10-13 00:00:00,9950241532414227,X11,Merchant_27,200.7845501529174,TR108280,1677110400,Jane,Wilson,F,Maple St,New York,74233.0,Nurse,1988-09-20,40.7128,-74.006,8419600.0,NY,Electronics,37.74817450316209,-118.17139987306292,27
30044,2023-05-26 00:00:00,2884670678063884,,Merchant_48,406.4673869558755,TR764654,1673395200,Mike,Smith,F,Maple St,New York,97683.0,Engineer,1970-03-19,40.7128,-74.006,8419600.0,NY,Apparel,-34.824300756255504,9.043276780820436,48
30045,2023-02-15 00:00:00,4031647356924302,X11,Merchant_72,319.0697791264172,TR464717,1702339200,Alice,Clark,F,1st Ave,Los Angeles,50693.0,Engineer,1999-08-15,34.0522,-118.2437,3979576.0,CA,Travel,-46.10552894239083,-79.92365101068057,72
30046,2023-10-18 00:00:00,9991842437016603,,Merchant_91,206.2921989485596,TR525125,1700611200,John,Wilson,F,Elm St,Houston,64187.0,Engineer,1957-05-22,29.7604,-95.3698,2328000.0,TX,Travel,79.7067731441328,112.03571661664807,91
30047,2023-08-12 00:00:00,3004616168889442,,Merchant_79,302.8680887297424,TR160489,1693872000,Mike,Smith,M,Main St,Phoenix,47384.0,Doctor,1975-11-23,33.4484,-112.074,1680992.0,AZ,Apparel,75.41967884170802,151.0070264380201,79
30048,2023-02-21 00:00:00,5001894889328233,macOS,Merchant_55,272.920896440622,TR112507,1697500800,Nancy,Smith,F,Broadway,New York,46188.0,Doctor,1971-12-16,40.7128,-74.006,8419600.0,NY,Groceries,67.32664769991092,-68.9949147777756,55
30049,2023-09-07 00:00:00,6109988432551061,X11,Merchant_22,131.98108531792536,TR968846,1699660800,Nancy,Smith,M,2nd Ave,Los Angeles,28062.0,Engineer,2002-03-19,34.0522,-118.2437,3979576.0,CA,Travel,47.18266849731842,-159.7418881952124,22
30050,2023-10-10 00:00:00,4224532424247787,,Merchant_9,145.58698641112187,TR394608,1677024000,Nancy,Brown,M,Maple St,New York,98963.0,Nurse,1992-02-26,40.7128,-74.006,8419600.0,NY,Groceries,1.3488588263006562,-108.5544689477847,9
30051,2023-10-31 00:00:00,6267104963519155,Windows,Merchant_87,135.9334509702375,TR754635,1701648000,Bob,Jones,F,Broadway,Los Angeles,14034.0,Teacher,1983-10-19,34.0522,-118.2437,3979576.0,CA,Apparel,-2.166985418914223,-9.414748982871458,87
30052,2023-07-02 00:00:00,3662463286362375,Windows,Merchant_45,282.7624777718772,TR926983,1701734400,Jane,Clark,F,1st Ave,Phoenix,55545.0,Doctor,1965-06-04,33.4484,-112.074,1680992.0,AZ,Groceries,-8.21197342866131,-29.061472035387425,45
30053,2023-09-09 00:00:00,3766974227278089,,Merchant_67,293.1345447913312,TR571763,1679616000,Jane,Jones,F,Broadway,Houston,39686.0,Engineer,1982-08-13,29.7604,-95.3698,2328000.0,TX,Travel,40.95461517742624,-91.11621941232542,67
30054,2023-01-06 00:00:00,1895311287583857,X11,Merchant_70,322.3929501779384,TR448646,1673913600,Emily,Williams,F,Broadway,Houston,28262.0,Engineer,2005-12-17,29.7604,-95.3698,2328000.0,TX,Electronics,31.73006966153801,-67.77740733493759,70
30055,2023-02-02 00:00:00,9538791366942971,Windows,Merchant_5,382.64313460534834,TR991865,1696204800,Jane,Clark,F,2nd Ave,Los Angeles,84354.0,Doctor,1958-12-12,34.0522,-118.2437,3979576.0,CA,Apparel,57.51766546394995,-155.8947055801055,5
30056,2023-07-02 00:00:00,5160492334012253,,Merchant_42,58.25533432312355,TR202026,1703376000,TestFirst9,TestLast9,M,670 Test St,Test City,87713.0,Clerk,1987-06-10,,,,,Electronics,39.54974326675128,-118.41519489151136,42
30057,2023-07-20 00:00:00,7502446197154172,,Merchant_32,193.6304899378601,TR242422,1695427200,John,Smith,F,Main St,Chicago,96499.0,Doctor,2003-05-28,41.8781,-87.6298,2716000.0,IL,Entertainment,-72.72178154395166,-42.05503760068177,32
30058,2023-12-17 00:00:00,9922595038828091,other,Merchant_58,457.6431510726446,TR436495,1703980800,Jane,Davis,F,Main St,Houston,13147.0,Clerk,1996-07-30,29.7604,-95.3698,2328000.0,TX,Electronics,-82.6737493094161,18.37997667711972,58
30059,2023-07-17 00:00:00,5907673211065893,other,Merchant_15,349.54880204330567,TR644204,1694131200,Mike,Johnson,M,Elm St,Phoenix,54597.0,Engineer,1986-10-06,33.4484,-112.074,1680992.0,AZ,Groceries,-44.27611476159149,-42.663280079890825,15
30060,2023-04-22 00:00:00,1262308837589228,other,Merchant_45,120.3415124182281,TR321206,1702857600,Alice,Brown,M,1st Ave,Phoenix,24127.0,Nurse,1996-12-17,33.4484,-112.074,1680992.0,AZ,Groceries,-8.21197342866131,-29.061472035387425,45
30061,2023-04-22 00:00:00,9792378975841440,,Merchant_81,214.9659482568412,TR867013,1677542400,Joe,Johnson,M,Maple St,Phoenix,64905.0,Artist,1964-05-24,33.4484,-112.074,1680992.0,AZ,,,-20.26169594424536,81
30062,2023-06-10 00:00:00,2034547486255620,,Merchant_85,78.9028397792864,TR327196,1672876800,Joe,Smith,F,Elm St,Phoenix,25647.0,Lawyer,1984-07-19,33.4484,-112.074,1680992.0,AZ,,,76.43321219151005,85
30063,2023-01-15 00:00:00,6549608170633327,,Merchant_61,67.84835856320069,TR839910,1675555200,Nancy,Brown,F,2nd Ave,Phoenix,28613.0,Nurse,1984-09-27,33.4484,-112.074,1680992.0,AZ,Groceries,28.15169417407517,-26.546305301538297,61
30064,2023-10-04 00:00:00,8668740190742425,,Merchant_82,42.13959208191061,TR264344,1679788800,Jane,Johnson,F,1st Ave,Houston,30504.0,Nurse,1974-07-10,29.7604,-95.3698,2328000.0,TX,Travel,62.64173498728283,-161.97879776419842,82
30065,2023-11-19 00:00:00,6181243869749533,,Merchant_8,7.475101384543942,TR999844,1688083200,Joe,Johnson,F,2nd Ave,Chicago,58183.0,Teacher,1969-05-07,41.8781,-87.6298,2716000.0,IL,Electronics,-25.158214700976583,-131.70660301011432,8
30066,2023-03-10 00:00:00,8637470522681393,,Merchant_57,112.69895436038423,TR769668,1675728000,Joe,Johnson,F,Broadway,Houston,89124.0,Lawyer,1994-07-18,29.7604,-95.3698,2328000.0,TX,Entertainment,88.09979154289479,-68.06583980919721,57
30067,2023-02-15 00:00:00,5929605755466395,,Merchant_89,158.78890785990532,TR487605,1688342400,Bob,Williams,M,Maple St,Los Angeles,79396.0,Teacher,1968-05-05,34.0522,-118.2437,3979576.0,CA,Groceries,56.70517035971261,106.3284407704616,89
30068,2023-07-31 00:00:00,3464302924622681,X11,Merchant_20,62.61562409226137,TR271170,1698710400,Bob,Clark,M,Maple St,Phoenix,88956.0,Clerk,1956-04-30,33.4484,-112.074,1680992.0,AZ,Groceries,-79.37573671650925,172.18212748118322,20
30069,2023-03-23 00:00:00,4626901157136707,,Merchant_69,367.09173797015467,TR667239,1676764800,Nancy,Clark,F,1st Ave,Los Angeles,73420.0,Nurse,1998-05-31,34.0522,-118.2437,3979576.0,CA,Groceries,46.32847847450455,-55.8779682013664,69
30070,2023-09-20 00:00:00,8538683793706952,other,Merchant_91,276.42734993542274,TR358953,1700092800,TestFirst22,TestLast22,M,911 Test St,Test City,18937.0,Lawyer,1963-06-15,,,,,Travel,79.7067731441328,112.03571661664807,91
30071,2023-02-04 00:00:00,3649995311544515,,Merchant_90,48.60199920422718,TR898232,1679616000,Mike,Williams,F,Main St,Los Angeles,26258.0,Doctor,2002-07-27,34.0522,-118.2437,3979576.0,CA,Groceries,79.06589427989428,40.668692758560525,90
30072,2023-05-24 00:00:00,7381324965140812,,Merchant_70,72.32757699804137,TR973624,1687305600,TestFirst42,TestLast42,M,382 Test St,Test City,39192.0,Teacher,1998-10-18,,,,,Electronics,31.73006966153801,-67.77740733493759,70
30073,2023-08-30 00:00:00,2804286584461030,macOS,Merchant_12,28.77110747855223,TR894501,1681948800,Alice,Smith,F,Elm St,Los Angeles,15246.0,Engineer,2005-10-19,34.0522,-118.2437,3979576.0,CA,Electronics,87.97582122185094,73.47387297180416,12
30074,2023-04-15 00:00:00,3847281876077333,Windows,Merchant_12,420.8845529274325,TR988712,1673481600,Jane,Wilson,M,Maple St,Houston,59274.0,Lawyer,1978-08-29,29.7604,-95.3698,2328000.0,TX,Electronics,87.97582122185094,73.47387297180416,12
30075,2023-01-19 00:00:00,7401462747166641,other,Merchant_86,123.61039164546632,TR686557,1687910400,Nancy,Wilson,F,Broadway,Los Angeles,53169.0,Lawyer,1968-07-25,34.0522,-118.2437,3979576.0,CA,Groceries,-61.26016902797638,-23.03810829457197,86
30076,2023-11-09 00:00:00,7443419615836004,Windows,Merchant_49,373.5236990066471,TR822716,1700265600,Mike,Williams,M,1st Ave,Chicago,80166.0,Nurse,1959-02-27,41.8781,-87.6298,2716000.0,IL,Entertainment,-86.438761259704,178.66385260859022,49
30077,2023-03-20 00:00:00,3789436531329899,,Merchant_62,299.7698254686438,TR705720,1685404800,Alice,Williams,M,Elm St,Houston,33079.0,Nurse,1956-10-23,29.7604,-95.3698,2328000.0,TX,Electronics,-42.8461377597528,41.78491327039501,62
30078,2023-11-18 00:00:00,6594365077067998,other,Merchant_84,375.5601430936419,TR112517,1679011200,John,Davis,F,Maple St,Los Angeles,57913.0,Clerk,1958-04-21,34.0522,-118.2437,3979576.0,CA,Entertainment,36.97594182103788,31.37227545761604,84
30079,2023-11-19 00:00:00,7111234523958607,macOS,Merchant_96,405.2510304993919,TR878240,1698883200,Joe,Davis,M,2nd Ave,Chicago,15578.0,Doctor,1983-08-28,41.8781,-87.6298,2716000.0,IL,Entertainment,89.06913218571336,-115.5370875639332,96
30080,2023-09-01 00:00:00,4235959476852339,macOS,Merchant_100,5.396068881708453,TR910867,1688256000,Mike,Smith,F,Elm St,New York,56913.0,Doctor,1994-11-26,40.7128,-74.006,8419600.0,NY,Travel,-71.4772913272537,-30.29339434798345,100
30081,2023-07-25 00:00:00,3995292894244543,X11,Merchant_22,480.6274903866847,TR215458,1684368000,Nancy,Davis,F,2nd Ave,New York,68813.0,Doctor,1977-03-29,40.7128,-74.006,8419600.0,NY,Travel,47.18266849731842,-159.7418881952124,22
30082,2023-08-07 00:00:00,1192936012936393,X11,Merchant_4,331.97710518595534,TR449965,1681689600,Joe,Brown,F,Maple St,Chicago,78303.0,Nurse,1984-02-25,41.8781,-87.6298,2716000.0,IL,Apparel,-61.315034940059576,-49.02547890057431,4
30083,2023-04-06 00:00:00,3922789613393266,X11,Merchant_96,316.09760432770514,TR644177,1694131200,Alice,Wilson,F,Main St,Chicago,20233.0,Doctor,1981-12-25,41.8781,-87.6298,2716000.0,IL,Entertainment,89.06913218571336,-115.5370875639332,96
30084,2023-01-12 00:00:00,5745216546804560,,Merchant_26,82.59220273481485,TR564071,1689811200,Emily,Williams,F,Main St,Houston,55354.0,Artist,1973-09-26,29.7604,-95.3698,2328000.0,TX,Travel,-51.69967850714601,-53.92826491691018,26
30085,2023-01-13 00:00:00,3571368785097130,,Merchant_9,307.77097719354936,TR761202,1702944000,Mike,Brown,M,Broadway,Los Angeles,84651.0,Lawyer,1956-01-29,34.0522,-118.2437,3979576.0,CA,Groceries,1.3488588263006562,-108.5544689477847,9
30086,2023-06-01 00:00:00,7466488688331597,other,Merchant_93,336.4925978000326,TR414528,1703635200,Alice,Wilson,F,2nd Ave,Phoenix,35229.0,Doctor,1961-09-24,33.4484,-112.074,1680992.0,AZ,Apparel,33.52105454215821,-105.89801217179304,93
30087,2023-07-09 00:00:00,7218194753645029,other,Merchant_97,144.97491302617033,TR484429,1699142400,Bob,Brown,M,2nd Ave,Chicago,48732.0,Clerk,1994-10-13,41.8781,-87.6298,2716000.0,IL,Entertainment,-7.911874954864373,-137.25111128226763,97
30088,2023-10-03 00:00:00,4203557817968130,,Merchant_12,449.7116364628138,TR956701,1703376000,Bob,Clark,M,Maple St,New York,82811.0,Clerk,1991-10-22,40.7128,-74.006,8419600.0,NY,Electronics,87.97582122185094,73.47387297180416,12
30089,2023-10-12 00:00:00,1098384171847569,X11,Merchant_59,372.7875121978698,TR892659,1674086400,Mike,Wilson,M,Elm St,Los Angeles,43927.0,Engineer,1964-03-01,34.0522,-118.2437,3979576.0,CA,Travel,-80.45996545485183,-81.74311296435529,59
30090,2023-01-14 00:00:00,5741237388848734,,Merchant_35,204.9063114206781,TR464247,1678320000,Mike,Williams,F,Main St,Chicago,13445.0,Engineer,1955-11-22,41.8781,-87.6298,2716000.0,IL,Electronics,68.77535645120233,-129.91125924167875,35
30091,2023-09-30 00:00:00,4491697206636527,macOS,Merchant_20,89.6326622896345,TR506618,1676678400,TestFirst0,TestLast0,F,485 Test St,Test City,61512.0,Clerk,1988-06-14,,,,,Groceries,-79.37573671650925,172.18212748118322,20
30092,2023-01-09 00:00:00,2565601822768906,Windows,Merchant_31,243.2082598111733,TR693619,1694304000,Alice,Johnson,F,1st Ave,Houston,54747.0,Engineer,1984-04-25,29.7604,-95.3698,2328000.0,TX,Apparel,88.04233454966248,-152.8800755184934,31
30093,2023-06-24 00:00:00,7939472386432209,,Merchant_14,295.20436276797346,TR205408,1682985600,Nancy,Brown,F,1st Ave,Phoenix,33890.0,Lawyer,1994-04-22,33.4484,-112.074,1680992.0,AZ,Travel,-19.65636715340061,16.66810179444255,14
30094,2023-11-01 00:00:00,4302860476253417,X11,Merchant_30,210.97323983381983,TR406252,1688860800,Bob,Clark,F,Maple St,Chicago,77897.0,Artist,1989-01-21,41.8781,-87.6298,2716000.0,IL,Travel,58.68090179673305,-140.56922218542377,30
30095,2023-07-27 00:00:00,8186428431838732,,Merchant_67,226.67387397387824,TR989013,1697846400,Joe,Clark,F,1st Ave,Chicago,93409.0,Clerk,1957-08-18,41.8781,-87.6298,2716000.0,IL,Travel,40.95461517742624,-91.11621941232542,67
30096,2023-12-24 00:00:00,3378042663686867,,Merchant_7,194.59479894638403,TR150603,1695513600,TestFirst3,TestLast3,M,281 Test St,Test City,64877.0,Teacher,1955-01-14,,,,,Travel,-3.1376392142395133,-1.0539371291183386,7
30097,2023-09-18 00:00:00,1082317874685593,,Merchant_76,194.6959818531789,TR563969,1691712000,Emily,Johnson,M,Main St,New York,96246.0,Nurse,1959-09-07,40.7128,-74.006,8419600.0,NY,Travel,-13.782030156854788,88.33761530797369,76
30098,2023-02-28 00:00:00,2342135124331538,macOS,Merchant_85,83.61861301798452,TR866358,1679961600,John,Smith,F,Broadway,Phoenix,37541.0,Doctor,1968-03-02,33.4484,-112.074,1680992.0,AZ,,,76.43321219151005,85
30099,2023-04-08 00:00:00,1608622929981943,,Merchant_78,20.752279809824632,TR395849,1685318400,Nancy,Jones,F,1st Ave,Houston,99525.0,Lawyer,1970-06-27,29.7604,-95.3698,2328000.0,TX,Electronics,-26.58433665786434,132.9141057936119,78
30100,2023-12-21 00:00:00,8750452725081165,,Merchant_99,271.3988241807779,TR115132,1677974400,Jane,Clark,M,Elm St,Phoenix,86144.0,Nurse,1984-02-18,33.4484,-112.074,1680992.0,AZ,Apparel,0.5115067976039995,-134.1933430640006,99
30101,2023-11-25 00:00:00,9031125386647346,X11,Merchant_31,359.4651595255148,TR157483,1694217600,Jane,Williams,M,Maple St,Houston,93745.0,Nurse,1992-10-29,29.7604,-95.3698,2328000.0,TX,Apparel,88.04233454966248,-152.8800755184934,31
30102,2023-11-25 00:00:00,6088226721187004,,Merchant_45,9.4052560657238,TR235127,1698278400,Bob,Brown,F,Main St,Chicago,13218.0,Doctor,1985-07-05,41.8781,-87.6298,2716000.0,IL,Groceries,-8.21197342866131,-29.061472035387425,45
30103,2023-07-03 00:00:00,6359899219763817,,Merchant_11,203.60645377477823,TR826878,1682121600,Emily,Wilson,F,1st Ave,Phoenix,73686.0,Artist,1958-02-13,33.4484,-112.074,1680992.0,AZ,Travel,-47.34271650763817,75.54811793589215,11
30104,2023-01-29 00:00:00,4997181551487857,,Merchant_41,437.4430150712005,TR567328,1696550400,Mike,Smith,F,Main St,Chicago,39522.0,Clerk,1960-09-24,41.8781,-87.6298,2716000.0,IL,Apparel,-86.22921534229609,-117.72684367017422,41
